,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
0,Gentle Bear,2023-05-20 10:10:11-05:00,-74.478752,46.043233,81,Type A,1
1,Wise Leopard,2023-05-20 10:10:15-05:00,-74.479711,46.045901,24,Type A,1
2,Graceful Raccoon,2023-05-20 10:10:28-05:00,-74.478423,46.043578,89,Type A,1
3,Energetic Badger,2023-05-20 10:10:32-05:00,-74.479221,46.0436,84,Type A,1
4,Gentle Bear,2023-05-20 10:10:44-05:00,-74.478818,46.043232,81,Type A,1
5,Wise Leopard,2023-05-20 10:10:48-05:00,-74.479711,46.045901,25,Type A,1
6,Majestic Kangaroo,2023-05-20 10:10:48-05:00,-74.47917,46.04305,77,Type A,1
7,Independent Weasel,2023-05-20 10:10:58-05:00,-74.478921,46.043472,83,Type B,1
8,Lively Rabbit,2023-05-20 10:11:11-05:00,-74.477518,46.043125,100,Type A,1
9,Majestic Kangaroo,2023-05-20 10:11:15-05:00,-74.47917,46.04305,77,Type A,1
10,Independent Weasel,2023-05-20 10:11:26-05:00,-74.478921,46.043472,83,Type B,1
11,Enduring Beaver,2023-05-20 10:11:31-05:00,-74.478379,46.042931,79,Type B,1
12,Fearless Chameleon,2023-05-20 10:11:31-05:00,-74.478648,46.04309,78,Type A,1
13,Clever Lion,2023-05-20 10:11:36-05:00,-74.47868,46.044678,11,Type A,1
14,Lively Rabbit,2023-05-20 10:11:37-05:00,-74.47734,46.043361,100,Type A,1
15,Resilient Otter,2023-05-20 10:11:52-05:00,-74.47841,46.043804,88,Type A,1
16,Lively Rabbit,2023-05-20 10:12:06-05:00,-74.47734,46.043361,100,Type A,1
17,Wild Tiger,2023-05-20 10:12:16-05:00,-74.479148,46.044121,17,Type A,1
18,Bold Owl,2023-05-20 10:12:29-05:00,-74.477207,46.042928,104,Type A,1
19,Cunning Giraffe,2023-05-20 10:12:29-05:00,-74.478589,46.042821,76,Type A,1
20,Resilient Otter,2023-05-20 10:12:32-05:00,-74.478407,46.043804,88,Type A,1
21,Wandering Antelope,2023-05-20 10:12:34-05:00,-74.478616,46.042092,71,Type A,1
22,Bold Owl,2023-05-20 10:12:51-05:00,-74.477309,46.043044,104,Type B,1
23,Elusive Fox,2023-05-20 10:12:51-05:00,-74.477585,46.045312,7,Type A,1
24,Cunning Giraffe,2023-05-20 10:13:02-05:00,-74.478603,46.042774,76,Type A,1
25,Wandering Antelope,2023-05-20 10:13:07-05:00,-74.479043,46.042074,71,Type A,1
26,Fearless Chameleon,2023-05-20 10:13:17-05:00,-74.478853,46.04273,75,Type A,1
27,Resilient Otter,2023-05-20 10:13:22-05:00,-74.478375,46.043754,88,Type A,1
28,Bold Owl,2023-05-20 10:13:23-05:00,-74.477326,46.043091,104,Type A,1
29,Graceful Raccoon,2023-05-20 10:13:23-05:00,-74.478652,46.043908,14,Type B,1
30,Wild Tiger,2023-05-20 10:13:25-05:00,-74.479122,46.044123,17,Type A,1
31,Fearless Chameleon,2023-05-20 10:13:50-05:00,-74.478853,46.04273,75,Type A,1
32,Wandering Antelope,2023-05-20 10:13:59-05:00,-74.479043,46.042074,71,Type B,1
