player_name,time,longitude,latitude,mate_name,Game_ID
Brave Cheetah,2023-05-20 11:29:00-05:00,-74.477061,46.043837,Enduring Beaver,2
Enduring Beaver,2023-05-20 11:29:11-05:00,-74.477021,46.043759,Brave Cheetah,2
Tenacious Mongoose,2023-05-20 11:36:27-05:00,-74.478753,46.044749,Resourceful Platypus,2
Resourceful Platypus,2023-05-20 11:36:27-05:00,-74.478965,46.044728,Tenacious Mongoose,2
Bold Owl,2023-05-20 11:36:42-05:00,-74.477347,46.043309,Wandering Antelope,2
Wandering Antelope,2023-05-20 11:36:45-05:00,-74.477054,46.043407,Bold Owl,2
Energetic Badger,2023-05-20 11:38:47-05:00,-74.478707,46.043,Majestic Kangaroo,2
Majestic Kangaroo,2023-05-20 11:38:51-05:00,-74.478617,46.042988,Energetic Badger,2
Independent Weasel,2023-05-20 11:42:18-05:00,-74.478495,46.043458,Cunning Giraffe,2
Cunning Giraffe,2023-05-20 11:42:21-05:00,-74.478483,46.043308,Independent Weasel,2
Majestic Kangaroo,2023-05-20 13:18:21-05:00,-74.478103,46.04499,Lively Rabbit,3
Lively Rabbit,2023-05-20 13:18:29-05:00,-74.47807,46.045085,Majestic Kangaroo,3
Swift Elephant,2023-05-20 13:22:46-05:00,-74.478237,46.042328,Noble Zebra,3
Noble Zebra,2023-05-20 13:22:46-05:00,-74.478217,46.042371,Swift Elephant,3
Silent Squirrel,2023-05-20 13:29:45-05:00,-74.478117,46.04505,Lively Rabbit,3
Lively Rabbit,2023-05-20 13:29:56-05:00,-74.478088,46.045031,Silent Squirrel,3
Curious Penguin,2023-05-20 14:05:10-05:00,-74.478413,46.043113,Noble Zebra,4
Noble Zebra,2023-05-20 14:05:11-05:00,-74.478419,46.043085,Curious Penguin,4
Swift Elephant,2023-05-20 14:08:35-05:00,-74.47733,46.043898,Resourceful Platypus,4
Resourceful Platypus,2023-05-20 14:08:35-05:00,-74.479327,46.042712,Swift Elephant,4
Wise Leopard,2023-05-20 14:14:02-05:00,-74.479144,46.044295,Graceful Raccoon,4
Graceful Raccoon,2023-05-20 14:14:03-05:00,-74.479137,46.044322,Wise Leopard,4
