game_id,player_id,role,prey_type,score,fate,killed_by,reproduced_with,prey_detected,pred_detected,comment,diet
1,Vigilant Puma,prey,blue,0.0,killed,Resourceful Platypus,,,,,
4,Gentle Bear,prey,blue,30.0,survived,,,,,,specialist
4,Fierce Porcupine,prey,red,50.0,survived,,,,,,generalist
4,Majestic Kangaroo,prey,red,50.0,survived,,,,,,generalist
4,Brave Cheetah,prey,blue,35.0,killed,Wandering Antelope,,,,,specialist
4,Energetic Badger,apex,,1.0,survived,,,17.0,,,
4,Graceful Raccoon,prey,red,63.0,survived,,Wise Leopard,,,,generalist
4,Wise Leopard,prey,red,69.0,survived,,Graceful Raccoon,,,,generalist
4,Vigilant Puma,prey,blue,40.0,survived,,,,,,specialist
5,Vigilant Puma,apex,,4.0,survived,,,13.0,,Number of detected prey not noted but wrote from memory,
5,Cunning Giraffe,prey,red,0.0,killed,Swift Elephant,,,,,
5,Daring Koala,prey,blue,60.0,survived,,,,,,specialist
5,Resourceful Platypus,meso,,2.0,survived,,,4.0,,,
4,Wild Tiger,meso,,0.0,killed,Wandering Antelope,,1.0,,,
5,Bold Owl,prey,blue,5.0,killed,Swift Elephant,,,,,specialist
5,Fierce Porcupine,prey,red,21.0,killed,Noble Zebra,,,,,generalist
5,Gentle Bear,prey,blue,15.0,killed,Swift Elephant,,,,,specialist
5,Swift Elephant,apex,,7.0,survived,,,14.0,,,
2,Resilient Otter,prey,blue,40.0,killed,Playful Dolphin,,,,,specialist
2,Peaceful Walrus,prey,blue,70.0,survived,,,,,,
2,Playful Dolphin,apex,,2.0,survived,,,10.0,,,
2,Daring Koala,meso,,4.0,survived,,,8.0,,,
2,Loyal Crocodile,prey,,2.0,survived,,,27.0,,,specialist
2,Silent Squirrel,prey,red,68.0,survived,,,,,,generalist
2,Tenacious Mongoose,prey,red,90.0,survived,,Resourceful Platypus,,,,generalist
2,Swift Elephant,prey,blue,50.0,survived,,,,,,specialist
2,Agile Hippopotamus,prey,red,7.0,killed,Wise Leopard,,,,,generalist
2,Graceful Raccoon,prey,blue,15.0,killed,Daring Koala,,,,,specialist
2,Persistent Armadillo,prey,blue,0.0,killed,Clever Lion,,,,,
2,Elusive Fox,prey,blue,45.0,survived,,,,,,specialist
2,Vigilant Puma,prey,blue,70.0,survived,,,,,,specialist
2,Enduring Beaver,prey,red,53.0,survived,,Brave Cheetah,,,,generalist
2,Noble Zebra,prey,blue,60.0,survived,,,,,,specialist
2,Curious Penguin,prey,blue,15.0,killed,Loyal Crocodile,,,,,specialist
2,Wise Leopard,apex,,1.0,survived,,,9.0,,,
3,Bold Owl,prey,blue,10.0,killed,Independent Weasel,,,,,specialist
3,Cunning Giraffe,prey,red,15.0,killed,Resilient Otter,,,,,generalist
3,Wise Leopard,prey,red,28.0,killed,Resilient Otter,,,,,generalist
3,Gentle Bear,prey,red,13.0,killed,Independent Weasel,,,,,generalist
3,Fierce Porcupine,prey,red,17.0,killed,Wandering Antelope,,,,,specialist
3,Brave Cheetah,prey,blue,55.0,survived,,,,,,specialist
3,Lively Rabbit,prey,red,56.0,survived,,Silent Squirrel,,,,generalist
3,Loyal Crocodile,prey,red,53.0,survived,,,,,,generalist
3,Silent Squirrel,prey,red,54.0,survived,,Lively Rabbit,,,,generalist
3,Energetic Badger,prey,blue,30.0,survived,,,,,,specialist
1,Clever Lion,prey,blue,55.0,survived,,,,,,specialist
1,Enduring Beaver,prey,red,28.0,starved,,,,,,generalist
1,Graceful Raccoon,prey,red,40.0,survived,,,,,,generalist
1,Agile Hippopotamus,meso,,2.0,survived,,,9.0,,,
1,Swift Elephant,meso,,1.0,survived,,,2.0,,,
1,Silent Squirrel,prey,red,32.0,survived,,,,,,generalist
1,Elusive Fox,prey,red,5.0,killed,Playful Dolphin,,,,,specialist
1,Daring Koala,prey,red,23.0,killed,Resourceful Platypus,,,,,generalist
1,Resilient Otter,prey,blue,9.0,killed,Loyal Crocodile,,,,,specialist
1,Curious Penguin,prey,red,0.0,killed,Resourceful Platypus,,,,,
1,Noble Zebra,prey,blue,25.0,killed,Resourceful Platypus,,,,,specialist
1,Peaceful Walrus,prey,red,11.0,killed,Playful Dolphin,,,,,
1,Tenacious Mongoose,prey,red,65.0,survived,,,,,,generalist
1,Wise Leopard,prey,red,20.0,killed,Swift Elephant,,,,,specialist
1,Resourceful Platypus,apex,,4.0,survived,,,9.0,,,
2,Resourceful Platypus,prey,A VOIR,81.0,killed,Playful Dolphin,Tenacious Mongoose,,,,generalist
3,Tenacious Mongoose,meso,blue,2.0,killed,Wandering Antelope,,6.0,,,
3,Wild Tiger,prey,blue,35.0,killed,Wandering Antelope,,,,,specialist
3,Clever Lion,prey,blue,10.0,killed,Tenacious Mongoose,,,,,specialist
3,Majestic Kangaroo,prey,blue,65.0,killed,Independent Weasel,Lively Rabbit,,,,specialist
